S_No,Place,Gauge,Meena
828,B,11,
829,B,11,
830,B,11,
831,B,11,
832,B,11,
833,B,11,
834,B,11,
835,B,11,
836,B,11,
837,B,10,
838,B,10,
839,B,10,
840,B,10,
841,B,10,
842,B,10,
843,B,10,
844,B,11,
845,B,11,
846,B,10,
847,B,10,
848,B,10,
849,B,10,
850,B,10,
851,B,10,
852,RD,10,
853,B,10,
854,B,10,
855,B,9,
856,B,9,
857,B,9,
858,B,9,
859,B,9,
860,RD,9,
861,B,9,
862,RD,9,
863,B,9,
864,RD,10,
865,RD,10,
866,RD,10,
867,B,10,
868,B,10,
869,B,10,
870,B,9,
871,B,9,
872,B,9,
873,B,10,
874,B,10,
875,B,10,
876,B,10,
877,B,10,
878,B,10,
879,B,10,
880,B,9,
881,B,9,
882,B,12,
883,B,12,
884,B,12,
885,B,12,
886,B,12,
887,B,12,
888,B,12,
889,RD,11,
890,B,11,
891,B,11,
892,B,11,
893,B,11,
894,B,11,
895,B,11,
896,,,
897,RD,12,
898,,,
899,RD,12,
900,RD,12,
901,B,9,
902,B,9,
903,B,9,
904,B,9,
905,B,10,
906,B,10,
907,B,9,
908,B,9,
909,B,9,
910,B,9,
911,B,9,
912,B,9,
913,B,9,
914,B,9,
915,C,9,
916,B,9,
917,B,9,
918,B,9,
919,B,9,
920,B,9,
921,B,9,
922,B,9,
923,B,9,
924,B,9,
925,B,9,
926,B,9,
927,,9,
928,B,9,
929,B,9,
930,B,9,
931,B,9,
932,B,9,
933,B,9,
934,B,9,
935,B,9,
936,B,9,
937,B,9,
938,B,9,
939,B,9,
940,B,9,
941,B,9,
942,B,9,
943,B,9,
944,C,9,
945,,9,
946,B,10,
947,B,10,
948,B,10,
949,B,10,
950,B,10,
951,B,10,
952,B,9,
953,B,9,
954,B,9,
955,,9,
956,B,9,
957,B,9,
958,B,9,
959,B,9,
960,B,9,
961,B,9,
962,B,9,
963,B,9,
964,B,9,
965,B,9,
966,B,9,
967,B,9,
968,B,9,
969,B,9,
970,B,9,
971,B,9,
972,B,9,
973,B,9,
974,B,9,
975,B,9,
976,B,9,
977,,9,
978,B,10,
979,B,10,
980,B,10,
981,,9,
982,B,9,
983,B,9,
984,B,9,
985,B,9,
986,B,9,
987,B,9,
988,B,9,
989,B,10,
990,B,10,
991,B,9,
992,B,9,
993,B,9,
994,B,9,
995,B,9,
996,B,9,
997,B,9,
998,,9,
999,B,9,
1000,B,9,
1001,B,9,
1002,B,9,
1003,B,9,
1004,B,10,
1005,B,10,
1006,B,10,
1007,B,10,
1008,B,10,
1009,B,10,
1010,B,9,
1011,B,9,
1012,B,9,
1013,B,9,
1014,B,9,
1015,B,9,
1016,B,9,
1017,B,9,
1018,B,9,
1019,B,9,
1020,B,9,
1021,B,9,
1022,B,9,
1023,B,9,
1024,B,9,
1025,B,9,
1026,B,9,
1027,B,10,
1028,B,9,
1029,B,9,
1030,B,9,
1031,B,9,
1032,RD,10,
1033,RD,10,
1034,RD,10,
1035,RD,10,
1036,B,10,
1037,B,9,
1038,B,9,
1039,B,9,
1040,B,9,
1041,B,9,
1042,B,9,
1043,B,9,
1044,B,9,
1045,B,9,
1046,B,9,
1047,B,9,
1048,B,9,
1049,H,9,
1050,H,9,
1051,H,9,
1052,H,9,
1053,B,9,
1054,B,9,
1055,B,9,
1056,B,8.5,
1057,B,9,
1058,B,9,
1059,B,9,
1060,B,9,
1061,B,9,
1062,B,9,
1063,B,9,
1064,B,8,
1065,B,8,
1066,B,8,
1067,B,8,
1068,B,9,
1069,B,9,
1070,B,9,
1071,B,9,
1072,B,9,
1073,,,
1074,B,9,
1075,B,9,
1076,B,9,
1077,B,9,
1078,B,9,
1079,B,8.5,
1080,B,8.5,
1081,B,8.5,
1082,B,8.5,
1083,B,8.5,
1084,B,8.5,
1085,B,8.5,
1086,B,8.5,
1087,B,8.5,
1088,B,8,
1089,B,8.5,
1090,B,8.5,
1091,B,8.5,
1092,B,8.5,
1093,B,8.5,
1094,RD,8.5,
1095,RD,8.5,
1096,RD,8.5,
1097,B,8.5,
1098,,,
1099,B,8.5,
1100,B,8.5,
1101,B,9,
1102,B,9,
1103,B,9,
1104,B,9,
1105,B,9,
1106,B,9,
1107,B,9,
1108,B,9,
1109,,,
1110,B,9,
1111,B,9,
1112,B,9,
1113,B,9,
1114,B,9,
1115,B,9,
1116,B,9,
1117,B,9,
1118,,,
1119,B,9,
1120,B,9,
1121,B,9,
1122,B,9,
1123,B,9,
1124,B,9,
1125,B,9,
1126,B,9,
1127,,,
1128,B,9,
1129,,,
1130,B,8,
1131,B,8,
1132,,,
1133,B,8.5,
1134,B,8.5,
1135,,,
1136,,,
1137,B,9,
1138,B,9,
1139,B,9,
1140,B,10,
1141,B,10,
1142,B,9,
1143,B,9,
1144,B,10,
1145,B,10,
1146,X,9,
1147,X,9,
1148,X,9,
1149,B,10,
1150,B,10,
1151,B,10,
1152,B,10,
1153,B,10,
1154,B,10,
1155,B,9,
1156,B,9,
1157,B,9,
1158,B,9,
1159,B,9,
1160,B,9,
1161,B,9,
1162,B,9,
1163,,,
1164,B,10,
1165,,,
1166,,,
1167,B,9,
1168,B,9,
1169,,,
1170,B,9,
1171,B,9,
1172,B,9,
1173,H,9,
1174,H,9,
1175,H,9,
1176,B,8.5,
1177,B,8.5,
1178,B,8.5,
1179,B,8.5,
1180,B,8.5,
1181,B,8.5,
1182,H,8,
1183,H,8,
1184,,,
1185,H,9,
1186,H,9,
1187,H,9,
1188,H,9,
1189,H,9,
1190,H,9,
1191,B,8.5,
1192,B,8.5,
1193,B,8.5,
1194,B,9,
1195,B,9,
1196,B,8,
1197,,,
1198,,,
1199,,,
1200,B,8,
1201,RD,7,
1202,RD,7,
1203,RD,7,
1204,B,7,
1205,RD,7,
1206,B,7,
1207,RD,7,
1208,B,7,
1209,B,7,
1210,B,8,
1211,B,8,
1212,B,8,
1213,B,8,
1214,B,8,
1215,B,7,
1216,B,7,
1217,B,8,
1218,B,8,
1219,B,8,
1220,B,8,
1221,B,8,
1222,B,8,
1223,B,8,
1224,B,8,
1225,B,8,
1226,B,8,
1227,B,8,
1228,B,8,
1229,B,8,
1230,B,8,
1231,B,8,
1232,B,9,
1233,B,8,
1234,B,8,
1235,B,8,
1236,B,8,
1237,B,8,
1238,B,8,
1239,B,8,
1240,B,8,
1241,B,8,
1242,B,8,
1243,B,8,
1244,H,8.5,
1245,H,8.5,
1246,B,8,
1247,B,8,
1248,B,8,
1249,B,8,
1250,B,8,
1251,B,8,
1252,H,8.5,
1253,B,7,
1254,B,7,
1255,B,8,
1256,B,8,
1257,B,7,
1258,B,7,
1259,B,8,
1260,B,8,
1261,B,7,
1262,B,7,
1263,B,7,
1264,B,7,
1265,B,8,
1266,B,8,
1267,B,8,
1268,B,8,
1269,B,8,
1270,B,8,
1271,B,8,
1272,B,8,
1273,B,8,
1274,B,7,
1275,B,8,
1276,B,8,
1277,B,8,
1278,B,8,
1279,,,
1280,B,8,
1281,B,8,
1282,B,8,
1283,B,8,
1284,,,
1285,B,8,
1286,B,8,
1287,B,8,
1288,,,
1289,B,7,
1290,B,7,
1291,B,7,
1292,B,7,
1293,B,8,
1294,B,8,
1295,B,7,
1296,B,7,
1297,B,7,
1298,,,
1299,B,7,
1300,B,7,
1301,B,9,
1302,B,9,
1303,B,9,
1304,B,9,
1305,B,9,
1306,B,11,
1307,B,10,
1308,B,11,
1309,B,11,
1310,B,10,
1311,B,11,
1312,B,11,
1313,B,11,
1314,B,11,
1315,B,11,
1316,B,11,
1317,B,11,
1318,B,11,
1319,B,9,
1320,B,9,
1321,B,13,
1322,B,13,
1323,B,13,
1324,,,
1325,,,
1326,B,11,
1327,B,11,
1328,B,11,
1329,B,11,
1330,B,11,
1331,B,11,
1332,B,11,
1333,B,11,
1334,B,11,
1335,B,11,
1336,B,11,
1337,B,11,
1338,B,11,
1339,B,10,
1340,B,11,
1341,B,11.5,
1342,B,11,
1343,B,11,
1344,,,
1345,B,10.5,
1346,B,11,
1347,B,11,
1348,B,11,
1349,B,11,
1350,B,10,
1351,B,10,
1352,B,9,
1353,B,9,
1354,B,9,
1355,B,10,
1356,B,10,
1357,B,9,
1358,B,10,
1359,B,10,
1360,,,
1361,B,9,
1362,B,9,
1363,B,9,
1364,B,9,
1365,B,9,
1366,B,9,
1367,B,10,
1368,B,10,
1369,B,10,
1370,B,10,
1371,B,10,
1372,B,10,
1373,B,11,
1374,B,11,
1375,B,11,
1376,B,11,
1377,B,11,
1378,B,11,
1379,B,11,
1380,B,11,
1381,B,11,
1382,B,9,
1383,B,9,
1384,B,9,
1385,B,9,
1386,B,10,
1387,B,9,
1388,B,9,
1389,B,9,
1390,,,
1391,B,11,
1392,B,11,
1393,B,11,
1394,B,11,
1395,B,11,
1396,B,11,
1397,B,11,
1398,,,
1399,B,11,
1400,B,11,
1401,RD,10.5,
1402,RD,10.5,
1403,RD,10.5,
1404,RD,10.5,
1405,RD,10.5,
1406,RD,10.5,
1407,,,
1408,,,
1409,,,
1410,RD,10,
1411,RD,10,
1412,RD,10,
1413,RD,10,
1414,RD,10,
1415,RD,10,
1416,RD,10,
1417,RD,10,
1418,RD,10,
1419,RD,10,
1420,RD,10,
1421,RD,10,
1422,RD,10,
1423,RD,10,
1424,,,
1425,,,
1426,,,
1427,,,
1428,RD,10,
1429,RD,10,
1430,RD,10,
1431,RD,10,
1432,RD,10,
1433,,,
1434,RD,10,
1435,RD,10,
1436,RD,10,
1437,RD,10,
1438,RD,10,
1439,RD,10,
1440,RD,10,
1441,RD,9,
1442,RD,9,
1443,RD,10,
1444,RD,10,
1445,RD,10,
1446,RD,10,
1447,RD,10,
1448,RD,10,
1449,RD,10,
1450,RD,10,
1451,RD,10,
1452,RD,11,
1453,RD,10,
1454,RD,11,
1455,RD,11,
1456,,,
1457,RD,11,
1458,RD,10,
1459,RD,10,
1460,,,
1461,RD,10,
1462,RD,10,
1463,RD,10,
1464,RD,9,
1465,RD,9,
1466,RD,9,
1467,RD,10,
1468,RD,10,
1469,RD,10,
1470,RD,10,
1471,RD,10,
1472,RD,10,
1473,RD,11,
1474,RD,11,
1475,RD,11,
1476,RD,11,
1477,RD,11,
1478,,,
1479,,,
1480,RD,10,
1481,RD,10,
1482,RD,10,
1483,RD,10,
1484,RD,10,
1485,RD,10,
1486,RD,10,
1487,RD,10,
1488,RD,10,
1489,RD,10,
1490,,,
1491,RD,11,
1492,RD,11,
1493,RD,11,
1494,RD,10,
1495,RD,10,
1496,RD,10,
1497,RD,11,
1498,,,
1499,RD,10,
1500,,,
1501,RD,10,
1502,RD,10,
1503,RD,10,
1504,RD,12,
1505,RD,12,
1506,RD,12,
1507,RD,12,
1508,RD,12,
1509,RD,12,
1510,RD,11,
1511,RD,11,
1512,RD,11,
1513,RD,11,
1514,RD,11,
1515,RD,11,
1516,RD,11,
1517,RD,10,
1518,RD,10,
1519,RD,10,
1520,RD,10,
1521,RD,10,
1522,,,
1523,RD,11,
1524,RD,11,
1525,RD,11,
1526,RD,11,
1527,,,
1528,RD,10,
1529,RD,10,
1530,RD,10,
1531,RD,12,
1532,RD,12,
1533,RD,9,
1534,RD,9,
1535,RD,9,
1536,RD,9,
1537,RD,11,
1538,RD,11,
1539,RD,11,
1540,RD,10,
1541,RD,10,
1542,RD,10,
1543,RD,12,
1544,,,
1545,RD,12,
1546,RD,11,
1547,RD,11,
1548,RD,11,
1549,RD,11,
1550,RD,11,
1551,RD,11,
1552,RD,11,
1553,RD,9,
1554,RD,9,
1555,RD,11,
1556,,,
1557,RD,11,
1558,RD,12,
1559,RD,12,
1560,RD,12,
1561,,,
1562,,,
1563,,,
1564,RD,10,
1565,RD,10,
1566,RD,10,
1567,RD,12,
1568,RD,12,
1569,RD,12,
1570,,,
1571,,,
1572,,,
1573,RD,11,
1574,RD,11,
1575,RD,11,
1576,RD,11,
1577,H,9,
1578,H,9,
1579,H,12,
1580,H,12,
1581,,,
1582,,,
1583,RD,8,
1584,RD,11,
1585,RD,11,
1586,B,9,
1587,B,9,
1588,RD,9,
1589,RD,9,
1590,RD,9,
1591,RD,10,
1592,RD,10,
1593,RD,10,
1594,RD,10,
1595,RD,10,
1596,RD,10,
1597,,,
1598,,,
1599,X,,
1600,,,
1601,RD,9,
1602,RD,9,
1603,RD,9,
1604,RD,9,
1605,RD,8,
1606,RD,8,
1607,RD,9,
1608,RD,9,
1609,RD,9,
1610,RD,9,
1611,RD,9,
1612,RD,9,
1613,RD,9,
1614,RD,9,
1615,RD,9,
1616,RD,9,
1617,,,
1618,RD,9,
1619,RD,9,
1620,RD,9,
1621,RD,9,
1622,RD,9,
1623,RD,9,
1624,RD,9,
1625,RD,9,
1626,RD,9,
1627,RD,9,
1628,RD,9,
1629,RD,9,
1630,RD,9,
1631,RD,9,
1632,,,
1633,RD,9,
1634,RD,9,
1635,,,
1636,RD,9,
1637,RD,10,
1638,RD,10,
1639,RD,10,
1640,RD,10,
1641,RD,9,
1642,RD,9,
1643,RD,9,
1644,RD,10,
1645,RD,10,
1646,RD,10,
1647,RD,10,
1648,RD,10,
1649,RD,10,
1650,RD,9,
1651,RD,9,
1652,RD,9,
1653,RD,9,
1654,RD,9,
1655,RD,8,
1656,RD,8,
1657,RD,8,
1658,RD,9,
1659,RD,9,
1660,RD,9,
1661,RD,9,
1662,RD,9,
1663,,,
1664,RD,9,
1665,RD,9,
1666,RD,9,
1667,RD,9,
1668,RD,9,
1669,RD,9,
1670,RD,9,
1671,RD,9,
1672,RD,9,
1673,RD,10,
1674,RD,10,
1675,,,
1676,RD,9,
1677,RD,9,
1678,RD,9,
1679,RD,9,
1680,RD,10,
1681,RD,10,
1682,RD,9,
1683,RD,9,
1684,RD,10,
1685,RD,10,
1686,RD,10,
1687,RD,10,
1688,RD,9,
1689,RD,9,
1690,RD,9,
1691,RD,9,
1692,,,
1693,RD,9,
1694,RD,9,
1695,RD,9,
1696,RD,9,
1697,RD,9,
1698,,,
1699,RD,9,
1700,RD,9,
1701,RD,10,
1702,RD,10,
1703,RD,10,
1704,RD,10,
1705,RD,10,
1706,,,
1707,,,
1708,,,
1709,,,
1710,RD,10,
1711,RD,10,
1712,RD,10,
1713,RD,10,
1714,RD,10,
1715,,,
1716,,,
1717,RD,11,
1718,RD,11,
1719,RD,10,
1720,RD,10,
1721,RD,10,
1722,RD,10,
1723,RD,10,
1724,RD,9,
1725,RD,9,
1726,RD,9,
1727,,,
1728,RD,10,
1729,,,
1730,,,
1731,,,
1732,,,
1733,RD,9,
1734,RD,9,
1735,RD,9,
1736,RD,9,
1737,RD,10,
1738,,,
1739,,,
1740,RD,10,
1741,RD,10,
1742,RD,10,
1743,RD,10,
1744,RD,10,
1745,,,
1746,RD,10,
1747,RD,10,
1748,RD,10,
1749,RD,10,
1750,RD,10,
1751,RD,10,
1752,,,
1753,,,
1754,RD,7,
1755,RD,10,
1756,,,
1757,,,
1758,RD,10,
1759,RD,10,
1760,RD,10,
1761,RD,10,
1762,RD,10,
1763,RD,10,
1764,RD,10,
1765,RD,10,
1766,RD,10,
1767,,,
1768,RD,10,
1769,RD,10,
1770,RD,10,
1771,RD,10,
1772,RD,10,
1773,RD,9,
1774,RD,9,
1775,RD,9,
1776,RD,10,
1777,RD,10,
1778,RD,10,
1779,RD,10,
1780,RD,10,
1781,,,
1782,RD,9,
1783,RD,9,
1784,RD,9,
1785,RD,9,
1786,RD,9,
1787,,,
1788,,,
1789,,,
1790,,,
1791,RD,9,
1792,RD,9,
1793,RD,10,
1794,RD,10,
1795,RD,10,
1796,RD,10,
1797,RD,10,
1798,,,
1799,RD,10,
1800,RD,10,
1801,RD,12,
1802,RD,12,
1803,RD,12,
1804,RD,12,
1805,RD,12,
1806,RD,12,
1807,RD,12,
1808,RD,12,
1809,RD,12,
1810,RD,12,
1811,RD,12,
1812,RD,12,
1813,RD,12,
1814,RD,12,
1815,RD,12,
1816,RD,11,
1817,RD,11,
1818,,,
1819,RD,12,
1820,RD,12,
1821,RD,12,
1822,RD,12,
1823,RD,12,
1824,RD,12,
1825,RD,12,
1826,RD,12,
1827,RD,12,
1828,RD,12,
1829,RD,12,
1830,RD,12,
1831,RD,12,
1832,,,
1833,RD,12,
1834,RD,12,
1835,RD,12,
1836,,,
1837,RD,11,
1838,RD,11,
1839,RD,12,
1840,RD,12,
1841,,,
1842,,,
1843,RD,12,
1844,RD,12,
1845,,,
1846,RD,11,
1847,RD,11,
1848,RD,11,
1849,RD,11,
1850,RD,11,
1851,RD,11,
1852,RD,11,
1853,RD,11,
1854,RD,11,
1855,RD,12,
1856,,,
1857,RD,12,
1858,RD,11,
1859,RD,11,
1860,RD,12,
1861,RD,12,
1862,,,
1863,,,
1864,,,
1865,RD,12,
1866,RD,12,
1867,RD,12,
