S_No,Place,Gauge,Meena
1,C,13.75,S
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,C,13,S
11,C,12,S
12,RD,13,S
13,RD,13,S
14,C,13,M
15,,,
16,,,
17,,,
18,,,
19,C,12,S
20,C,11.5,S
21,C,12,M
22,B,12,M
23,B,12,S
24,,,
25,,,
26,,,
27,,,
28,C,11,S
29,C,10.5,S
30,RD,11,S
31,B,11,M
32,B,11,M
33,C,11,S
34,B,11,S
35,,,
36,,,
37,C,10,S
38,B,9,S
39,H,10,S
40,B,10,S
41,B,10,S
42,H,10,M
43,H,10,S
44,B,10,M
45,RD,10,S
46,C,9,S
47,B,9,S
48,H,9,S
49,,,
50,B,9,S
51,RD,9,M
52,RD,9,M
53,B,9,M
54,B,9,M
55,,,
56,,,
57,,,
58,B,9,M
59,B,8,S
60,B,8,S
61,RD,8,S
62,RD,8,S
63,RD,8,M
64,,,
65,RD,8,S
66,RD,8,S
67,RD,8,M
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,B,11.5,S
202,B,12,S
203,B,11.5,S
204,B,12,S
205,B,12,M
206,B,12,M
207,B,12,M
208,B,12,S
209,,,
210,,,
211,B,12,S
212,B,11.5,S
213,B,12,M
214,B,12,S
215,B,12,M
216,B,12,S
217,B,12,S
218,B,12,M
219,B,12,S
220,B,11.5,S
221,B,12,S
222,B,12,S
223,B,12,M
224,B,12,S
225,B,12,S
226,B,12,S
227,,,
228,B,12,S
229,B,12,S
230,B,11,S
231,B,12,S
232,B,12,M
233,B,12,S
234,B,12,S
235,B,12,M
236,,,
237,B,12,S
238,B,12,M
239,B,12,S
240,B,12,S
241,B,12,
242,B,12,
243,B,12,
244,B,12,
245,B,12,
246,B,12,
247,B,12,
248,B,12,
249,B,12,
250,B,12,
251,H,12,
252,,,
253,,,
254,,,
255,B,12,
256,B,12,
257,B,12,
258,B,12,
259,B,12,
260,B,12,
261,B,12,
262,B,12,
263,B,12,
264,B,13,
265,B,13,
266,B,13,
267,B,12,
268,B,12,
269,B,12,
270,B,13,
271,B,13,
272,,,
273,B,13,
274,,,
275,,,
276,B,13,
277,,,
278,B,13,
279,B,13,
280,,,
281,B,13,
282,B,12,
283,B,12,
284,B,12,
285,B,12,
286,B,12,
287,B,12,
288,B,12,
289,B,12,
290,B,12,
291,B,12,
292,B,12,
293,B,12,
294,B,12,
295,B,12,
296,B,12,
297,B,12,
298,,,
299,B,12,
300,B,12,
301,B,11,
302,B,11,
303,B,11.5,
304,B,11,
305,B,11,
306,B,11,
307,B,11,
308,B,11,
309,B,11,
310,B,11,
311,B,11,
312,B,11,
313,B,11,
314,B,11,
315,B,11,
316,B,11,
317,B,11,
318,B,11,
319,B,11,
320,B,11,
321,B,11,
322,B,11,
323,B,11,
324,B,12,
325,B,12,
326,B,12,
327,B,12,
328,B,10.5,
329,B,10.5,
330,B,10.5,
331,B,10.5,
332,B,11,
333,B,11,
334,B,11,
335,B,11,
336,B,11,
337,B,11,
338,B,11,
339,B,11,
340,B,11,
341,B,11,
342,B,11,
343,X,11,
344,X,11,
345,X,11,
346,B,11,
347,B,11,
348,B,10,
349,B,11,
350,B,11,
351,B,11,
352,B,11,
353,B,11,
354,B,11,
355,B,11,
356,B,11,
357,B,11,
358,B,11,
359,B,11,
360,B,11,
361,B,11,
362,B,11,
363,B,11,
364,B,11,
365,B,11,
366,B,11,
367,B,11,
368,B,11,
369,B,11,
370,B,11,
371,B,11,
372,B,11,
373,B,11,
374,B,11,
375,B,11,
376,B,11,
377,B,11,
378,B,11,
379,B,11,
380,B,11,
381,B,11,
382,B,11,
383,B,11,
384,B,11,
385,B,11,
386,B,11,
387,B,11,
388,B,11,
389,B,11,
390,B,11,
391,B,11,
392,B,11,
393,B,11,
394,B,11,
395,B,11,
396,B,11,
397,B,12,
398,,,
399,B,11,
400,B,11,
401,B,11,
402,B,11,
403,B,11,
404,B,11,
405,B,11,
406,B,11,
407,B,11,
408,B,10,
409,B,11,
410,B,11,
411,B,11,
412,B,11,
413,B,11,
414,B,11,
415,B,11,
416,B,11,
417,B,11,
418,B,11,
419,,,
420,,,
421,B,11,
422,B,11,
423,B,11,
424,B,11,
425,B,11,
426,B,11,
427,B,10,
428,B,11,
429,B,11,
430,B,11,
431,B,11,
432,B,11,
433,B,11,
434,B,11,
435,B,11,
436,B,11,
437,B,11,
438,B,11,
439,B,11,
440,B,11,
441,B,11,
442,B,11,
443,B,11,
444,B,11,
445,B,11,
446,B,11,
447,B,11,
448,B,11,
449,,,
450,B,11,
451,B,11,
452,B,11,
453,B,10,
454,B,11,
455,,,
456,B,11,
457,B,11,
458,B,11,
459,B,11,
460,B,11,
461,B,11,
462,B,11,
463,B,11,
464,B,11,
465,B,10.5,
466,B,11,
467,B,11,
468,B,11,
469,B,11,
470,B,11,
471,B,11,
472,B,11,
473,B,11,
474,B,11,
475,B,11,
476,B,11,
477,B,11,
478,B,11,
479,B,11,
480,B,11,
481,B,11,
482,B,11,
483,B,11,
484,B,11,
485,B,11,
486,B,11,
487,B,11,
488,B,11,
489,B,11,
490,B,11,
491,B,11,
492,B,11,
493,B,11,
494,B,11,
495,B,11,
496,B,11,
497,B,11,
498,,,
499,B,11,
500,B,11,
501,B,13,
502,B,13,
503,B,13,
504,B,13,
505,B,13,
506,B,13,
507,B,13,
508,B,13,
509,B,13,
510,B,13,
511,B,13,
512,B,13,
513,B,13,
514,B,13,
515,B,13,
516,,,
517,B,13,
518,B,13,
519,B,13,
520,B,13,
521,B,13,
522,B,13,
523,B,13,
524,B,13,
525,B,13,
526,B,13,
527,B,13,
528,B,13,
529,B,13,
530,B,13,
531,B,13,
532,B,13,
533,B,13,
534,B,13,
535,B,13,
536,B,13,
537,B,13,
538,B,13,
539,B,13,
540,B,13,
541,B,13,
542,B,13,
543,B,13,
544,B,13,
545,B,13,
546,B,13,
547,B,13,
548,B,13,
549,B,13,
550,B,13,
551,,,
552,B,13,
553,B,13,
554,B,13,
555,B,13,
556,,,
557,B,13,
558,B,13,
559,B,13,
560,B,13,
561,B,13,
562,B,13,
563,B,13,
564,B,13,
565,B,13,
566,B,13,
567,B,13,
568,B,13,
569,B,13,
570,B,13,
571,B,13,
572,,,
573,B,13,
574,,,
575,B,13,
576,B,13,
577,B,13,
578,,,
579,B,13,
580,B,13,
581,B,13,
582,B,13,
583,B,13,
584,,,
585,B,13,
586,B,13,
587,B,13,
588,,,
589,B,13,
590,B,13,
591,B,13,
592,B,13,
593,B,13,
594,B,13,
595,B,13,
596,B,12,
597,B,13,
598,,,
599,B,13,
600,B,13,
601,B,10,
602,B,10,
603,B,10,
604,B,10,
605,B,10,
606,B,10,
607,B,10,
608,B,10,
609,B,10,
610,B,10,
611,B,10,
612,B,10,
613,B,10,
614,B,10,
615,B,10,
616,B,10,
617,B,10,
618,B,10,
619,B,10,
620,B,10,
621,B,10,
622,B,10,
623,B,10,
624,B,10,
625,B,10,
626,B,10,
627,B,10,
628,B,10,
629,B,10,
630,B,10,
631,B,10,
632,B,10,
633,B,10,
634,B,10,
635,B,10,
636,B,10,
637,,,
638,RD,9,
639,RD,9,
640,B,10,
641,B,10,
642,B,10,
643,B,10,
644,B,10,
645,B,10,
646,B,10,
647,B,10,
648,B,10,
649,B,10,
650,B,10,
651,B,10,
652,B,10,
653,B,10,
654,B,10,
655,B,10,
656,B,10,
657,,,
658,B,10,
659,B,10,
660,B,10,
661,B,10,
662,B,10,
663,B,10,
664,B,10,
665,B,10,
666,B,10,
667,B,10,
668,B,10,
669,B,10,
670,B,10,
671,B,10,
672,B,10,
673,B,10,
674,B,10,
675,B,10,
676,B,10,
677,B,10,
678,B,10,
679,B,10,
680,B,10,
681,B,10,
682,B,10,
683,B,10,
684,B,10,
685,B,10,
686,B,10,
687,B,10,
688,B,10,
689,B,10,
690,,,
691,B,10,
692,B,10,
693,B,10,
694,B,10,
695,B,10,
696,B,10,
697,B,10,
698,,,
699,B,9,
700,B,9,
701,B,10,
702,B,10,
703,B,10,
704,B,10,
705,B,10,
706,B,10,
707,B,10,
708,B,10,
709,B,10,
710,B,10,
711,B,10,
712,B,10,
713,B,10,
714,B,10,
715,B,10,
716,B,10,
717,B,10,
718,B,10,
719,B,10,
720,B,10,
721,B,10,
722,B,10,
723,B,10,
724,B,10,
725,B,10,
726,B,10,
727,B,10,
728,B,10,
729,B,10,
730,B,10,
731,B,10,
732,B,10,
733,B,10,
734,B,10,
735,B,10,
736,,,
737,B,10,
738,B,10,
739,,,
740,B,10,
741,B,10,
742,B,10,
743,B,10,
744,B,10,
745,B,10,
746,B,10,
747,B,10,
748,B,10,
749,B,10,
750,,,
751,B,11,
752,B,11,
753,B,11,
754,,,
755,B,10,
756,B,10,
757,B,10,
758,B,10,
759,B,10,
760,B,10,
761,B,10,
762,B,10,
763,B,10,
764,B,10,
765,B,10,
766,B,10,
767,B,10,
768,B,10,
769,B,10,
770,B,10,
771,B,10,
772,B,10,
773,B,10,
774,B,10,
775,B,10,
776,B,10,
777,B,10,
778,B,10,
779,B,10,
780,B,10,
781,B,10,
782,B,10,
783,B,10,
784,B,10,
785,B,10,
786,B,10,
787,B,10,
788,B,10,
789,B,10,
790,B,10,
791,B,10,
792,B,10,
793,B,10,
794,B,10,
795,B,10,
796,B,10,
797,B,10,
798,,,
799,B,10,
800,B,10,
801,B,9,
802,B,9,
803,B,9,
804,RD,9,
805,RD,9,
806,RD,9,
807,B,9,
808,RD,9,
809,RD,9,
810,B,9,
811,RD,9,
812,B,9,
813,RD,9,
814,B,9,
815,RD,9,
816,RD,8,
817,B,9,
818,B,11,
819,B,11,
820,B,11,
821,B,11,
822,B,11,
823,B,11,
824,B,11,
825,B,11,
826,B,11,
827,B,11,
